ano,flag_publico_privado,variavel,categoria,media_remuneracao,fator_correcao,media_remuneracao_ajustada
2003,Privado,nivel_governo,Outros,784.6771745902753,2.904271994,2278.915942493585
2003,Privado,poderes,Outros,784.6771745902752,2.904271994,2278.9159424935847
2003,Privado,genero,Feminino,662.3962525855459,2.904271994,1923.778885314751
2003,Privado,genero,Masculino,849.6087042839288,2.904271994,2467.494765710442
2003,Privado,grau_instrucao,Analfabeto,544.6625240176481,2.904271994,1581.848114685808
2003,Privado,grau_instrucao,Até Ensino Médio,773.8691730055959,2.904271994,2247.526566180093
2003,Privado,grau_instrucao,Até Ensino Superior Completo,2462.41387139139,2.904271994,7151.519644319132
2003,Público,genero,Feminino,1066.4532340440137,2.904271994,3097.2702605447566
2003,Público,genero,Masculino,1590.8144505405016,2.904271994,4620.1578563552775
2003,Público,poderes,Outros,2070.0125902108784,2.904271994,6011.879592976853
2003,Público,poderes,Executivo,946.7836690517521,2.904271994,2749.7172944035683
2003,Público,poderes,Judiciário,4283.780433848441,2.904271994,12441.263542471197
2003,Público,poderes,Legislativo,2792.4130852659355,2.904271994,8109.927119216991
2003,Público,nivel_governo,Outros,2287.549966711777,2.904271994,6643.667303196647
2003,Público,nivel_governo,Federal,3194.8923792191927,2.904271994,9278.83646081033
2003,Público,nivel_governo,Estadual,1371.7770312171729,2.904271994,3984.013613776499
2003,Público,nivel_governo,Municipal,752.342074036174,2.904271994,2185.006015531135
2003,Público,grau_instrucao,Analfabeto,640.6810826825974,2.904271994,1860.7121255206662
2003,Público,grau_instrucao,Até Ensino Médio,1011.4008994756929,2.904271994,2937.3833070536643
2003,Público,grau_instrucao,Até Ensino Superior Completo,2209.662948768931,2.904271994,6417.4622182890635
2015,Privado,nivel_governo,Outros,2014.7872510019781,1.441140541,2903.5915889088938
2015,Privado,poderes,Outros,2014.7872510019783,1.441140541,2903.5915889088938
2015,Privado,genero,Feminino,1728.0960091639522,1.441140541,2490.429217546479
2015,Privado,genero,Masculino,2205.871131018785,1.441140541,3178.970315132694
2015,Privado,grau_instrucao,Até Mestrado,6032.5105195758215,1.441140541,8693.69547376969
2015,Privado,grau_instrucao,Até Doutorado,7732.84000371789,1.441140541,11144.109226424442
2015,Privado,grau_instrucao,Até Fundamental,1427.7281658379682,1.441140541,2057.5569413166672
2015,Privado,grau_instrucao,Até Ensino Médio,1686.197562054382,1.441140541,2430.047666811933
2015,Privado,grau_instrucao,Até Ensino Superior Completo,4825.633764913174,1.441140541,6954.416454634838
2015,Público,genero,Feminino,3358.8098855897756,1.441140541,4840.5170956349975
2015,Público,genero,Masculino,4743.079445689738,1.441140541,6835.44407836729
